timestamp_eastern,open,high,low,close,volume,cd,cdv,vwap
"May 07, 2025 10:55:06 AM",5630.25,5632.25,5627.75,5632.25,3014,1872605741184,2422361554816,5630.082531519575
"May 07, 2025 10:55:36 AM",5632.0,5632.5,5627.5,5628.5,2586,2181843386264,2113123909736,5629.79369682908
"May 07, 2025 10:56:05 AM",5628.5,5630.25,5626.25,5626.25,2996,2314987372408,1979979923592,5628.182076101469
"May 07, 2025 10:56:41 AM",5626.5,5631.0,5626.5,5629.75,2718,1833951035478,2461016260522,5628.88097866078
"May 07, 2025 10:57:27 AM",5629.5,5630.25,5627.0,5627.25,2832,2211908157186,2083059138814,5628.48093220339
"May 07, 2025 10:58:20 AM",5627.25,5631.0,5627.0,5630.75,2757,1696512082177,2598455213823,5628.575897714907
"May 07, 2025 10:58:48 AM",5630.75,5633.25,5630.5,5632.0,2646,1687922147632,2607045148368,5631.985166288738
"May 07, 2025 10:59:25 AM",5632.25,5634.0,5630.0,5632.75,3025,1928440315857,2366526980143,5631.914958677686
"May 07, 2025 11:00:10 AM",5632.75,5633.5,5629.5,5631.25,3056,2263447764608,2031519531392,5631.514888743455
"May 07, 2025 11:00:59 AM",5631.0,5631.25,5628.25,5628.5,2595,2379411881935,1915555414065,5629.285163776493
"May 07, 2025 11:01:12 AM",5628.5,5629.0,5624.5,5625.0,2479,3234110372891,1060856923109,5625.943424768052
"May 07, 2025 11:01:50 AM",5625.0,5626.75,5624.25,5625.75,2662,2095944040642,2199023255358,5625.427873779114
"May 07, 2025 11:02:25 AM",5625.5,5626.75,5622.5,5623.0,2618,2701534428532,1593432867468,5624.645912910619
"May 07, 2025 11:02:58 AM",5623.0,5628.0,5623.0,5624.5,2559,2001454760081,2293512535919,5625.140777647519
"May 07, 2025 11:04:05 AM",5624.25,5626.0,5623.25,5625.75,2620,1859720839282,2435246456718,5624.4958015267175
"May 07, 2025 11:04:35 AM",5625.75,5630.25,5625.5,5628.0,2753,1597727834817,2697239461183,5628.638031238649
"May 07, 2025 11:05:39 AM",5628.25,5630.5,5626.0,5629.25,2900,2010044694718,2284922601282,5628.335948275862
"May 07, 2025 11:06:30 AM",5629.0,5631.5,5627.0,5627.5,2789,2216203124769,2078764171231,5629.735030476873
"May 07, 2025 11:07:12 AM",5627.5,5628.25,5622.75,5622.75,2750,2697239461298,1597727834702,5625.9866363636365
"May 07, 2025 11:08:02 AM",5622.75,5627.75,5622.75,5626.0,2705,2083059138719,2211908157281,5625.281330868762
"May 07, 2025 11:08:57 AM",5626.0,5632.0,5625.5,5631.0,2903,1735166788219,2559800507781,5628.512142611092
"May 07, 2025 11:09:48 AM",5631.0,5631.5,5624.5,5628.25,2524,2237677960888,2057289335112,5628.146889857369
"May 07, 2025 11:10:42 AM",5628.25,5632.0,5627.75,5631.5,2429,1722281886157,2572685409843,5629.93598188555
"May 07, 2025 11:12:11 AM",5631.5,5631.5,5628.75,5629.5,2649,2276332666643,2018634629357,5630.054265760665
"May 07, 2025 11:13:12 AM",5629.5,5630.0,5624.5,5624.5,2485,2486786063843,1808181232157,5627.016700201208
"May 07, 2025 11:13:34 AM",5624.5,5624.75,5621.0,5621.0,2433,2864743185801,1430224110199,5622.675914508837
"May 07, 2025 11:14:05 AM",5621.0,5623.25,5620.0,5623.0,2736,2336462208558,1958505087442,5621.183022660819
"May 07, 2025 11:15:07 AM",5623.0,5623.5,5620.75,5622.0,2586,1932735283280,2362232012720,5622.045630317092
"May 07, 2025 11:16:09 AM",5622.0,5625.75,5621.75,5625.25,2563,1735166787857,2559800508143,5623.313694888802
